Summary Statistic	joint	prior	likelihood	geography.clock.rate	H.nonZeroRates	H.indicators1	H.indicators2	H.indicators3	H.indicators4	H.indicators5	H.indicators6	H.indicators7	H.indicators8	H.indicators9	H.indicators10	H.indicators11	geography.coefficients.Pop_size_origin	geography.coefficients.Pop_size_destination	geography.coefficients.dis_mat	geography.coefficients.h1n1_rate_origin	geography.coefficients.Air_flow	geography.coefficients.Within_connectivity_origin	geography.coefficients.Within_connectivity_destination	geography.coefficients.sample_n_origin	geography.coefficients.sample_n_destination	geography.coefficients.flu_coverage_destination	geography.coefficients.anti_dis	geography.coefficientsTimesIndicators1	geography.coefficientsTimesIndicators2	geography.coefficientsTimesIndicators3	geography.coefficientsTimesIndicators4	geography.coefficientsTimesIndicators5	geography.coefficientsTimesIndicators6	geography.coefficientsTimesIndicators7	geography.coefficientsTimesIndicators8	geography.coefficientsTimesIndicators9	geography.coefficientsTimesIndicators10	geography.coefficientsTimesIndicators11	geography.branchRates
mean	-5287.9499	-628.2753	-4659.6746	0.7877	2.6215	0.0178	0.5399	0.0249	0.3256	0.9895	0.1569	0.0116	0.1722	0.0612	0.0238	0.2982	-0.3158	-0.1769	-0.0026	0.2327	0.83	0.0609	-0.12	0.9449	1.128	-0.2705	-0.405	4.7758E-4	-0.0991	2.0961E-3	0.1089	0.8214	0.0305	-0.0014	0.1086	0.058	-0.0019	-0.1156	0
stderr of mean	0.327	0.2851	0.423	3.5943E-4	0.0402	1.6587E-3	0.0131	2.3715E-3	0.0135	1.1545E-3	5.5408E-3	1.2593E-3	0.0127	2.7295E-3	2.5129E-3	9.6311E-3	0.024	7.3209E-3	0.0204	0.0182	8.3924E-4	0.0178	0.0195	0.0133	0.0642	0.0252	4.5312E-3	3.945E-4	2.478E-3	3.1553E-4	4.845E-3	1.2152E-3	1.2583E-3	2.3366E-4	5.4128E-3	2.6591E-3	4.069E-4	3.812E-3	0
stdev	27.8175	25.1867	36.9507	0.0315	1.2152	0.1321	0.4984	0.1559	0.4686	0.1018	0.3637	0.1073	0.3776	0.2396	0.1523	0.4575	1.5331	0.2905	1.8827	0.6268	0.0545	1.6441	1.7946	0.3525	0.6855	1.7552	0.2948	0.0315	0.0967	0.0181	0.1667	0.1004	0.0807	0.0208	0.2749	0.2329	0.0223	0.1849	0
variance	773.8126	634.3699	1365.3579	9.9193E-4	1.4768	0.0174	0.2484	0.0243	0.2196	0.0104	0.1323	0.0115	0.1426	0.0574	0.0232	0.2093	2.3505	0.0844	3.5445	0.3929	2.9694E-3	2.7032	3.2206	0.1242	0.4699	3.0807	0.0869	9.9405E-4	9.3426E-3	3.2773E-4	0.0278	0.0101	6.5048E-3	4.3131E-4	0.0756	0.0542	4.9635E-4	0.0342	0
median	-5287.1395	-627.6261	-4658.8711	0.7871	3	0	1	0	0	1	0	0	0	0	0	0	-0.4554	-0.1903	0.0281	0.3307	0.8293	0.1866	-0.2798	1.0002	0.9611	-0.265	-0.4133	-0	-0.124	0	0	0.8286	-0	-0	0	0	0	-0	0
value range	[-5386.7274, -5184.1954]	[-761.7376, -538.1628]	[-4800.9243, -4496.1211]	[0.6813, 0.9355]	[0, 8]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[-8.1064, 9.8825]	[-4.623, 5.8937]	[-6.818, 7.3512]	[-5.9027, 5.4856]	[0.6144, 1.162]	[-6.3984, 7.4818]	[-7.1789, 8.7255]	[-4.8577, 3.1604]	[0.3113, 6.4199]	[-8.6276, 7.4004]	[-5.372, 5.2299]	[-1.0027, 0.6347]	[-0.4454, 0]	[-0.3058, 0.3081]	[-0.2373, 1.3942]	[0, 1.162]	[-0.1454, 0.7215]	[-0.7562, 0.0784]	[0, 1.6588]	[0, 1.527]	[-0.3377, 0.8846]	[-0.6316, -0]	[0, 0]
geometric mean	n/a	n/a	n/a	0.7871	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.8282	n/a	n/a	n/a	1.0197	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95% HPD interval	[-5344.9481, -5235.4144]	[-680.2321, -581.3012]	[-4734.3601, -4590.4897]	[0.7266, 0.8526]	[1, 5]	[0, 0]	[0, 1]	[0, 0]	[0, 1]	[1, 1]	[0, 1]	[0, 0]	[0, 1]	[0, 1]	[0, 0]	[0, 1]	[-3.1305, 3.3365]	[-0.3127, -0.0878]	[-3.8398, 3.7081]	[-1.5395, 0.8155]	[0.7176, 0.9315]	[-3.4286, 3.4875]	[-3.5715, 3.7378]	[0.3, 1.3945]	[0.4566, 2.9371]	[-3.7621, 3.3247]	[-0.6173, -0.1826]	[-0, -0]	[-0.237, 0]	[-0, 0]	[0, 0.4244]	[0.7127, 0.9388]	[-0, 0.2336]	[-0, -0]	[0, 0.8464]	[0, 0.7655]	[0, 0]	[-0.4742, -0]	n/a
auto-correlation time (ACT)	1174.6466	1089.7589	1114.1397	1107.4258	9297.309	1340.8044	5872.0964	1966.6514	7084.7218	1093.9488	1973.1387	1171.4682	9581.9505	1103.0999	2314.6624	3768.6247	2080.3477	5401.1811	1000	7202.1992	2016.8384	1000	1000	12062.3417	74657.1945	1746.9901	2008.7677	1331.2305	5588.604	2583.085	7179.5549	1246.3847	2069.6068	1076.3401	3295.8509	1108.5395	2836.3167	3615.0758	n/a
effective sample size (ESS)	7237.9	7801.7	7631	7677.3	914.5	6341	1447.9	4323.1	1200	7771.8	4308.9	7257.6	887.3	7707.4	3673.1	2256	4086.8	1574.1	8502	1180.5	4215.5	8502	8502	704.8	113.9	4866.7	4232.4	6386.6	1521.3	3291.4	1184.2	6821.3	4108	7899	2579.6	7669.6	2997.5	2351.8	n/a
