"date","region","by_seq"
2016-12-22,"Africa",1
2016-12-22,"Americas",17
2016-12-22,"Asia",3
2016-12-22,"Europe",7
2016-12-22,"Oceania",1
2016-12-29,"Africa",1
2016-12-29,"Americas",23
2016-12-29,"Asia",3
2016-12-29,"Europe",7
2016-12-29,"Oceania",2
2017-01-05,"Africa",1
2017-01-05,"Americas",32
2017-01-05,"Asia",14
2017-01-05,"Europe",16
2017-01-05,"Oceania",1
2017-01-12,"Africa",2
2017-01-12,"Americas",36
2017-01-12,"Asia",13
2017-01-12,"Europe",8
2017-01-12,"Oceania",2
2017-01-19,"Africa",4
2017-01-19,"Americas",39
2017-01-19,"Asia",5
2017-01-19,"Europe",7
2017-01-19,"Oceania",1
2017-01-26,"Africa",2
2017-01-26,"Americas",43
2017-01-26,"Asia",8
2017-01-26,"Europe",16
2017-02-02,"Americas",34
2017-02-02,"Asia",8
2017-02-02,"Europe",11
2017-02-09,"Africa",2
2017-02-09,"Americas",41
2017-02-09,"Asia",11
2017-02-09,"Europe",9
2017-02-09,"Oceania",1
2017-02-16,"Africa",2
2017-02-16,"Americas",61
2017-02-16,"Asia",11
2017-02-16,"Europe",18
2017-02-23,"Africa",1
2017-02-23,"Americas",53
2017-02-23,"Asia",6
2017-02-23,"Europe",22
2017-03-02,"Africa",2
2017-03-02,"Americas",90
2017-03-02,"Asia",10
2017-03-02,"Europe",20
2017-03-02,"Oceania",2
2017-03-09,"Africa",1
2017-03-09,"Americas",72
2017-03-09,"Asia",26
2017-03-09,"Europe",21
2017-03-16,"Americas",84
2017-03-16,"Asia",9
2017-03-16,"Europe",22
2017-03-16,"Oceania",2
2017-03-23,"Africa",1
2017-03-23,"Americas",57
2017-03-23,"Asia",3
2017-03-23,"Europe",16
2017-03-23,"Oceania",1
2017-03-30,"Americas",70
2017-03-30,"Asia",16
2017-03-30,"Europe",18
2017-03-30,"Oceania",1
2017-04-06,"Americas",54
2017-04-06,"Asia",14
2017-04-06,"Europe",16
2017-04-13,"Americas",44
2017-04-13,"Asia",12
2017-04-13,"Europe",8
2017-04-13,"Oceania",1
2017-04-20,"Americas",42
2017-04-20,"Asia",7
2017-04-20,"Europe",8
2017-04-20,"Oceania",4
2017-04-27,"Americas",50
2017-04-27,"Asia",3
2017-04-27,"Europe",10
