"date","region","h3n2_seq"
2016-12-22,"Africa",2
2016-12-22,"Americas",263
2016-12-22,"Asia",72
2016-12-22,"Europe",467
2016-12-22,"Oceania",2
2016-12-29,"Africa",7
2016-12-29,"Americas",343
2016-12-29,"Asia",63
2016-12-29,"Europe",567
2016-12-29,"Oceania",2
2017-01-05,"Africa",3
2017-01-05,"Americas",354
2017-01-05,"Asia",103
2017-01-05,"Europe",635
2017-01-05,"Oceania",18
2017-01-12,"Africa",8
2017-01-12,"Americas",375
2017-01-12,"Asia",80
2017-01-12,"Europe",505
2017-01-12,"Oceania",21
2017-01-19,"Africa",13
2017-01-19,"Americas",434
2017-01-19,"Asia",46
2017-01-19,"Europe",469
2017-01-19,"Oceania",20
2017-01-26,"Africa",8
2017-01-26,"Americas",397
2017-01-26,"Asia",50
2017-01-26,"Europe",381
2017-01-26,"Oceania",22
2017-02-02,"Africa",5
2017-02-02,"Americas",444
2017-02-02,"Asia",49
2017-02-02,"Europe",327
2017-02-02,"Oceania",20
2017-02-09,"Africa",4
2017-02-09,"Americas",450
2017-02-09,"Asia",42
2017-02-09,"Europe",228
2017-02-09,"Oceania",21
2017-02-16,"Africa",2
2017-02-16,"Americas",430
2017-02-16,"Asia",27
2017-02-16,"Europe",191
2017-02-16,"Oceania",20
2017-02-23,"Africa",3
2017-02-23,"Americas",354
2017-02-23,"Asia",26
2017-02-23,"Europe",111
2017-02-23,"Oceania",22
2017-03-02,"Africa",12
2017-03-02,"Americas",261
2017-03-02,"Asia",31
2017-03-02,"Europe",77
2017-03-02,"Oceania",22
2017-03-09,"Africa",7
2017-03-09,"Americas",228
2017-03-09,"Asia",32
2017-03-09,"Europe",62
2017-03-09,"Oceania",30
2017-03-16,"Africa",2
2017-03-16,"Americas",185
2017-03-16,"Asia",32
2017-03-16,"Europe",24
2017-03-16,"Oceania",31
2017-03-23,"Africa",15
2017-03-23,"Americas",176
2017-03-23,"Asia",14
2017-03-23,"Europe",21
2017-03-23,"Oceania",35
2017-03-30,"Africa",8
2017-03-30,"Americas",122
2017-03-30,"Asia",18
2017-03-30,"Europe",5
2017-03-30,"Oceania",30
2017-04-06,"Africa",9
2017-04-06,"Americas",85
2017-04-06,"Asia",13
2017-04-06,"Europe",10
2017-04-06,"Oceania",34
2017-04-13,"Africa",8
2017-04-13,"Americas",55
2017-04-13,"Asia",14
2017-04-13,"Europe",4
2017-04-13,"Oceania",25
2017-04-20,"Africa",6
2017-04-20,"Americas",50
2017-04-20,"Asia",21
2017-04-20,"Europe",4
2017-04-20,"Oceania",18
2017-04-27,"Africa",5
2017-04-27,"Americas",59
