period,region_final_dep,region_final_arr,Num_month,Num,Num_per_month
Period 1,Africa,Africa,,NA,NA
Period 1,Africa,Europe,39,81347121,2085823.6
Period 1,Africa,Japan/Korea,39,978126,25080.2
Period 1,Africa,North America,39,9382236,240570.2
Period 1,Africa,North China,39,1250935,32075.3
Period 1,Africa,Oceania,39,1257753,32250.1
Period 1,Africa,Russia,39,1064885,27304.7
Period 1,Africa,South America,39,971179,24902
Period 1,Africa,South China,39,3426118,87849.2
Period 1,Africa,South-eastern Asia,39,2673540,68552.3
Period 1,Africa,Southern Asia,39,4148632,106375.2
Period 1,Africa,Western Asia,39,41079579,1053322.5
Period 1,Europe,Africa,39,80992670,2076735.1
Period 1,Europe,Europe,,NA,NA
Period 1,Europe,Japan/Korea,39,17539250,449724.4
Period 1,Europe,North America,39,117471987,3012102.2
Period 1,Europe,North China,39,7008357,179701.5
Period 1,Europe,Oceania,39,10143804,260097.5
Period 1,Europe,Russia,39,38232688,980325.3
Period 1,Europe,South America,39,24028140,616106.2
Period 1,Europe,South China,39,20301382,520548.3
Period 1,Europe,South-eastern Asia,39,31989243,820237
Period 1,Europe,Southern Asia,39,26672884,683920.1
Period 1,Europe,Western Asia,39,111494209,2858825.9
Period 1,Japan/Korea,Africa,39,1061472,27217.2
Period 1,Japan/Korea,Europe,39,17685839,453483.1
Period 1,Japan/Korea,Japan/Korea,,NA,NA
Period 1,Japan/Korea,North America,39,21371410,547984.9
Period 1,Japan/Korea,North China,39,22710390,582317.7
Period 1,Japan/Korea,Oceania,39,5473575,140348.1
Period 1,Japan/Korea,Russia,39,2266423,58113.4
Period 1,Japan/Korea,South America,39,809375,20753.2
Period 1,Japan/Korea,South China,39,69899919,1792305.6
Period 1,Japan/Korea,South-eastern Asia,39,58778324,1507136.5
Period 1,Japan/Korea,Southern Asia,39,3417965,87640.1
Period 1,Japan/Korea,Western Asia,39,2261151,57978.2
Period 1,North America,Africa,39,9088041,233026.7
Period 1,North America,Europe,39,117142684,3003658.6
Period 1,North America,Japan/Korea,39,21570026,553077.6
Period 1,North America,North America,,NA,NA
Period 1,North America,North China,39,6277970,160973.6
Period 1,North America,Oceania,39,8934891,229099.8
Period 1,North America,Russia,39,1761275,45160.9
Period 1,North America,South America,39,29290451,751037.2
Period 1,North America,South China,39,17320720,444121
Period 1,North America,South-eastern Asia,39,14456599,370682
Period 1,North America,Southern Asia,39,14334546,367552.5
Period 1,North America,Western Asia,39,13212179,338773.8
Period 1,North China,Africa,39,1334361,34214.4
Period 1,North China,Europe,39,7078472,181499.3
Period 1,North China,Japan/Korea,39,22532417,577754.3
Period 1,North China,North America,39,6183971,158563.4
Period 1,North China,North China,,NA,NA
Period 1,North China,Oceania,39,2507010,64282.3
Period 1,North China,Russia,39,2082437,53395.8
Period 1,North China,South America,39,224078,5745.6
Period 1,North China,South China,39,344358998,8829717.9
Period 1,North China,South-eastern Asia,39,17248536,442270.2
Period 1,North China,Southern Asia,39,1631409,41831
Period 1,North China,Western Asia,39,1849744,47429.3
Period 1,Oceania,Africa,39,1226764,31455.5
Period 1,Oceania,Europe,39,10680909,273869.5
Period 1,Oceania,Japan/Korea,39,5715616,146554.3
Period 1,Oceania,North America,39,9061967,232358.1
Period 1,Oceania,North China,39,2614572,67040.3
Period 1,Oceania,Oceania,,NA,NA
Period 1,Oceania,Russia,39,125012,3205.4
Period 1,Oceania,South America,39,874034,22411.1
Period 1,Oceania,South China,39,8827820,226354.4
Period 1,Oceania,South-eastern Asia,39,19461724,499018.6
Period 1,Oceania,Southern Asia,39,4551893,116715.2
