"test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","test_roll","diff"
32582,4254.39499604461,4237.24022603865,4264.21828189996,59.5050039553891,49.756382263313,76.6135445633101,2010-01-04,NA,NA,NA,NA,NA,NA,NA,0
32506,3229.01521120482,3204.65227995753,3241.71615716424,53.5820092365784,42.0593064215995,77.390566244616,2010-01-11,NA,NA,NA,NA,NA,NA,NA,7
28865,2557.00150709538,2537.68053594706,2573.16061023966,46.0606325586902,36.2905563405383,66.6222147167775,2010-01-18,2711.84250409635,2692.62860024978,2723.53108640417,60.459455570703,50.6000836051821,79.5524902784723,29443.2,7
26609,1745.91239964238,1731.56927746918,1754.47623810832,83.4666100259996,75.4372741814267,97.4316063943914,2010-01-25,2198.97584170614,2179.35007031357,2211.09711468179,64.7252528209661,54.6214239505945,84.2070295312945,28113.8,7
26654,1772.88840649457,1752.00068183646,1784.08414460866,59.6830220768577,49.4568988190329,79.7045194732665,2010-02-01,1857.88489239014,1839.00945260809,1870.70931311026,66.540001291928,55.6748362937811,85.2781370904255,26555.2,7
25935,1690.06168409355,1670.84757635763,1702.04842328807,80.8339902067047,69.8630839903749,99.8862408274211,2010-02-08,1640.78678806516,1623.11718362551,1652.10272725128,69.0028205432391,58.5610429566777,86.2146648241582,25606.6,7
24713,1523.56046462483,1502.94919143011,1539.77714930659,62.6557515913875,47.3263681375326,82.7461040402713,2010-02-15,1563.75503374373,1545.73756706143,1576.24041945559,67.6921062643292,56.3032566731656,85.4505386098577,24849.2,7
24122,1471.51098547047,1458.21919103417,1480.12768094478,58.3747288152461,50.7215896550216,71.3048533854409,2010-02-22,1473.79514817567,1457.52434748412,1485.94798412276,65.1043727847689,54.1261947356285,81.4267810791224,23792,7
22822,1360.75362803522,1344.67119464876,1375.16469912986,76.9130386314499,64.1483427638662,93.6109753228886,2010-03-01,1350.77476097006,1335.48466273158,1362.33740141631,57.6289584636555,47.085748543249,73.0734163283992,22692.4,7
21368,1323.08897865428,1310.93458394995,1332.62196794448,46.7443546790564,38.571589131347,59.5857318195901,2010-03-08,1229.03054082574,1215.83658514302,1238.87255408565,57.9494808192816,49.1340582416406,71.4978374089643,21675.8,7
20437,1074.95974806553,1060.64915259489,1083.99550975584,43.4569186011378,34.6608530284776,58.1194170738052,2010-03-15,1104.46928645284,1089.52157841213,1116.85134526721,66.2288626053084,54.9755642862865,81.6096996787769,20381.4,7
19630,914.839363903209,904.708803487318,922.45291265329,64.2583633695179,57.5679166294907,74.8682094430965,2010-03-22,979.06563865027,962.229480744371,991.958498517472,68.732510407879,56.6697159161291,85.945032993052,19237,7
17650,848.704713605971,826.644157379739,870.021636852608,99.7716377453799,79.9291198782511,121.864164734504,2010-03-29,837.23515393144,820.682823460902,850.601445653525,80.7325603440999,67.9885014466171,97.620563401693,18155.4,7
17100,733.735389022364,708.210706309955,750.700465381146,89.431277644303,72.6191009130792,115.287641894264,2010-04-05,709.227364096609,692.260045583106,723.396809754008,93.4284454170262,79.8153498997222,110.709110289363,17389.4,7
15960,613.936555060129,603.201297532606,625.836703624745,106.744604360161,95.1655167837866,117.963383862795,2010-04-12,598.578314676452,581.280240330373,613.192011445867,98.007949382638,83.7366669833077,115.628856060249,16444.4,7
