"virus","tree_id","season","tmrca"
"by",1,"N_Hemisphere_2012",2004.57690373157
"by",1,"N_Hemisphere_2013",2004.57690373157
"by",1,"N_Hemisphere_2011",2004.57690373157
"by",1,"N_Hemisphere_2014",2004.57690373157
"by",1,"S_Hemisphere_2012.5",2004.57690373157
"by",1,"S_Hemisphere_2013.5",2004.57690373157
"by",1,"S_Hemisphere_2014.5",2004.57690373157
"by",1,"S_Hemisphere_2011.5",2004.57690373157
"by",1,"S_Hemisphere_2019.5",2016.30631561555
"by",1,"S_Hemisphere_2015.5",2004.57690373157
"by",1,"N_Hemisphere_2015",2004.57690373157
"by",1,"N_Hemisphere_2020",2016.30631561555
"by",1,"S_Hemisphere_2017.5",2015.57532418312
"by",1,"N_Hemisphere_2018",2014.07300934432
"by",1,"N_Hemisphere_2019",2015.8947294088
"by",1,"N_Hemisphere_2016",2004.57690373157
"by",1,"S_Hemisphere_2016.5",2004.57690373157
"by",1,"N_Hemisphere_2017",2012.0118505916
"by",1,"S_Hemisphere_2018.5",2016.30631561555
"by",1,"S_Hemisphere_2020.5",2020.18852459016
"by",2,"N_Hemisphere_2012",2006.51485025398
"by",2,"N_Hemisphere_2013",2006.51485025398
"by",2,"N_Hemisphere_2011",2006.51485025398
"by",2,"N_Hemisphere_2014",2006.51485025398
"by",2,"S_Hemisphere_2012.5",2006.51485025398
"by",2,"S_Hemisphere_2013.5",2006.51485025398
"by",2,"S_Hemisphere_2014.5",2006.51485025398
"by",2,"S_Hemisphere_2011.5",2006.51485025398
"by",2,"S_Hemisphere_2019.5",2016.2974552383
"by",2,"S_Hemisphere_2015.5",2006.51485025398
"by",2,"N_Hemisphere_2015",2006.51485025398
"by",2,"N_Hemisphere_2020",2016.2974552383
"by",2,"S_Hemisphere_2017.5",2015.68513642829
"by",2,"N_Hemisphere_2018",2013.60231044702
"by",2,"N_Hemisphere_2019",2015.88967924658
"by",2,"N_Hemisphere_2016",2006.51485025398
"by",2,"S_Hemisphere_2016.5",2006.51485025398
"by",2,"N_Hemisphere_2017",2011.96332802555
"by",2,"S_Hemisphere_2018.5",2016.2654594657
"by",2,"S_Hemisphere_2020.5",2020.18852459016
"by",3,"N_Hemisphere_2012",2005.56717715188
"by",3,"N_Hemisphere_2013",2005.56717715188
"by",3,"N_Hemisphere_2011",2005.56717715188
"by",3,"N_Hemisphere_2014",2005.56717715188
"by",3,"S_Hemisphere_2012.5",2005.56717715188
"by",3,"S_Hemisphere_2013.5",2005.56717715188
"by",3,"S_Hemisphere_2014.5",2005.56717715188
"by",3,"S_Hemisphere_2011.5",2005.56717715188
"by",3,"S_Hemisphere_2019.5",2016.56931469841
"by",3,"S_Hemisphere_2015.5",2005.56717715188
"by",3,"N_Hemisphere_2015",2005.56717715188
"by",3,"N_Hemisphere_2020",2016.56931469841
"by",3,"S_Hemisphere_2017.5",2015.60112945376
"by",3,"N_Hemisphere_2018",2014.21643601893
"by",3,"N_Hemisphere_2019",2015.9111836685
"by",3,"N_Hemisphere_2016",2005.56717715188
"by",3,"S_Hemisphere_2016.5",2005.56717715188
"by",3,"N_Hemisphere_2017",2011.89944983185
"by",3,"S_Hemisphere_2018.5",2016.56931469841
"by",3,"S_Hemisphere_2020.5",2020.18852459016
"by",4,"N_Hemisphere_2012",2006.78660961214
"by",4,"N_Hemisphere_2013",2006.78660961214
"by",4,"N_Hemisphere_2011",2006.78660961214
"by",4,"N_Hemisphere_2014",2006.78660961214
"by",4,"S_Hemisphere_2012.5",2006.78660961214
"by",4,"S_Hemisphere_2013.5",2006.78660961214
"by",4,"S_Hemisphere_2014.5",2006.78660961214
"by",4,"S_Hemisphere_2011.5",2006.78660961214
"by",4,"S_Hemisphere_2019.5",2016.60170782314
"by",4,"S_Hemisphere_2015.5",2006.78660961214
"by",4,"N_Hemisphere_2015",2006.78660961214
"by",4,"N_Hemisphere_2020",2016.60170782314
"by",4,"S_Hemisphere_2017.5",2015.84825625765
"by",4,"N_Hemisphere_2018",2013.86380442894
"by",4,"N_Hemisphere_2019",2016.06557170464
"by",4,"N_Hemisphere_2016",2006.78660961214
"by",4,"S_Hemisphere_2016.5",2006.78660961214
"by",4,"N_Hemisphere_2017",2012.01006540113
"by",4,"S_Hemisphere_2018.5",2016.60170782314
"by",4,"S_Hemisphere_2020.5",2020.18852459016
"by",5,"N_Hemisphere_2012",2006.60537438374
"by",5,"N_Hemisphere_2013",2006.60537438374
"by",5,"N_Hemisphere_2011",2006.60537438374
"by",5,"N_Hemisphere_2014",2006.60537438374
"by",5,"S_Hemisphere_2012.5",2006.60537438374
"by",5,"S_Hemisphere_2013.5",2006.60537438374
"by",5,"S_Hemisphere_2014.5",2006.60537438374
"by",5,"S_Hemisphere_2011.5",2006.60537438374
"by",5,"S_Hemisphere_2019.5",2016.53591263134
"by",5,"S_Hemisphere_2015.5",2006.60537438374
"by",5,"N_Hemisphere_2015",2006.60537438374
"by",5,"N_Hemisphere_2020",2016.61583108067
"by",5,"S_Hemisphere_2017.5",2015.44110705266
"by",5,"N_Hemisphere_2018",2013.89318550873
"by",5,"N_Hemisphere_2019",2015.90372023647
"by",5,"N_Hemisphere_2016",2006.60537438374
"by",5,"S_Hemisphere_2016.5",2006.60537438374
"by",5,"N_Hemisphere_2017",2011.80168234718
"by",5,"S_Hemisphere_2018.5",2016.53591263134
"by",5,"S_Hemisphere_2020.5",2020.18852459016
"by",6,"N_Hemisphere_2012",2004.90659717587
"by",6,"N_Hemisphere_2013",2004.90659717587
"by",6,"N_Hemisphere_2011",2004.90659717587
"by",6,"N_Hemisphere_2014",2004.90659717587
"by",6,"S_Hemisphere_2012.5",2004.90659717587
"by",6,"S_Hemisphere_2013.5",2004.90659717587
"by",6,"S_Hemisphere_2014.5",2004.90659717587
"by",6,"S_Hemisphere_2011.5",2004.90659717587
"by",6,"S_Hemisphere_2019.5",2016.52542031229
"by",6,"S_Hemisphere_2015.5",2004.90659717587
"by",6,"N_Hemisphere_2015",2004.90659717587
"by",6,"N_Hemisphere_2020",2016.52542031229
"by",6,"S_Hemisphere_2017.5",2015.55126641564
"by",6,"N_Hemisphere_2018",2014.206442662
"by",6,"N_Hemisphere_2019",2015.89790310544
"by",6,"N_Hemisphere_2016",2004.90659717587
"by",6,"S_Hemisphere_2016.5",2004.90659717587
"by",6,"N_Hemisphere_2017",2012.0087512133
"by",6,"S_Hemisphere_2018.5",2016.52542031229
"by",6,"S_Hemisphere_2020.5",2020.18852459016
"by",7,"N_Hemisphere_2012",2006.22946395395
"by",7,"N_Hemisphere_2013",2006.22946395395
"by",7,"N_Hemisphere_2011",2006.22946395395
"by",7,"N_Hemisphere_2014",2006.22946395395
"by",7,"S_Hemisphere_2012.5",2006.22946395395
"by",7,"S_Hemisphere_2013.5",2006.22946395395
"by",7,"S_Hemisphere_2014.5",2006.22946395395
"by",7,"S_Hemisphere_2011.5",2006.22946395395
"by",7,"S_Hemisphere_2019.5",2016.64736286441
"by",7,"S_Hemisphere_2015.5",2006.22946395395
"by",7,"N_Hemisphere_2015",2006.22946395395
"by",7,"N_Hemisphere_2020",2016.64736286441
"by",7,"S_Hemisphere_2017.5",2015.55376493093
"by",7,"N_Hemisphere_2018",2014.16561129606
"by",7,"N_Hemisphere_2019",2015.89548058936
"by",7,"N_Hemisphere_2016",2006.22946395395
"by",7,"S_Hemisphere_2016.5",2006.22946395395
"by",7,"N_Hemisphere_2017",2011.76200687031
"by",7,"S_Hemisphere_2018.5",2016.63856190632
"by",7,"S_Hemisphere_2020.5",2020.18852459016
"by",8,"N_Hemisphere_2012",2005.60070603876
"by",8,"N_Hemisphere_2013",2005.60070603876
"by",8,"N_Hemisphere_2011",2005.60070603876
"by",8,"N_Hemisphere_2014",2005.60070603876
"by",8,"S_Hemisphere_2012.5",2005.60070603876
"by",8,"S_Hemisphere_2013.5",2005.60070603876
"by",8,"S_Hemisphere_2014.5",2005.60070603876
"by",8,"S_Hemisphere_2011.5",2005.60070603876
"by",8,"S_Hemisphere_2019.5",2016.44687368667
"by",8,"S_Hemisphere_2015.5",2005.60070603876
"by",8,"N_Hemisphere_2015",2005.60070603876
"by",8,"N_Hemisphere_2020",2016.44687368667
"by",8,"S_Hemisphere_2017.5",2015.69043450332
"by",8,"N_Hemisphere_2018",2014.15763878452
"by",8,"N_Hemisphere_2019",2015.96110960011
"by",8,"N_Hemisphere_2016",2005.60070603876
"by",8,"S_Hemisphere_2016.5",2005.60070603876
"by",8,"N_Hemisphere_2017",2012.00527549114
"by",8,"S_Hemisphere_2018.5",2016.44687368667
"by",8,"S_Hemisphere_2020.5",2020.18852459016
"by",9,"N_Hemisphere_2012",2005.16769346536
"by",9,"N_Hemisphere_2013",2005.16769346536
"by",9,"N_Hemisphere_2011",2005.16769346536
"by",9,"N_Hemisphere_2014",2005.16769346536
"by",9,"S_Hemisphere_2012.5",2005.16769346536
"by",9,"S_Hemisphere_2013.5",2005.16769346536
"by",9,"S_Hemisphere_2014.5",2005.16769346536
"by",9,"S_Hemisphere_2011.5",2005.16769346536
"by",9,"S_Hemisphere_2019.5",2016.16078754776
"by",9,"S_Hemisphere_2015.5",2005.16769346536
"by",9,"N_Hemisphere_2015",2005.16769346536
"by",9,"N_Hemisphere_2020",2016.16078754776
"by",9,"S_Hemisphere_2017.5",2015.41792550028
"by",9,"N_Hemisphere_2018",2014.091927892
"by",9,"N_Hemisphere_2019",2015.82475025938
"by",9,"N_Hemisphere_2016",2005.16769346536
"by",9,"S_Hemisphere_2016.5",2005.16769346536
"by",9,"N_Hemisphere_2017",2012.27886095091
"by",9,"S_Hemisphere_2018.5",2016.16078754776
"by",9,"S_Hemisphere_2020.5",2020.18852459016
"by",10,"N_Hemisphere_2012",2006.68442826618
"by",10,"N_Hemisphere_2013",2006.68442826618
"by",10,"N_Hemisphere_2011",2006.68442826618
"by",10,"N_Hemisphere_2014",2006.68442826618
"by",10,"S_Hemisphere_2012.5",2006.68442826618
"by",10,"S_Hemisphere_2013.5",2006.68442826618
"by",10,"S_Hemisphere_2014.5",2006.68442826618
"by",10,"S_Hemisphere_2011.5",2006.68442826618
"by",10,"S_Hemisphere_2019.5",2016.35867025233
"by",10,"S_Hemisphere_2015.5",2006.68442826618
"by",10,"N_Hemisphere_2015",2006.68442826618
"by",10,"N_Hemisphere_2020",2016.35867025233
"by",10,"S_Hemisphere_2017.5",2015.40384548666
"by",10,"N_Hemisphere_2018",2014.03494179238
"by",10,"N_Hemisphere_2019",2016.00807892374
"by",10,"N_Hemisphere_2016",2006.68442826618
"by",10,"S_Hemisphere_2016.5",2006.68442826618
"by",10,"N_Hemisphere_2017",2012.09997150809
"by",10,"S_Hemisphere_2018.5",2016.35867025233
"by",10,"S_Hemisphere_2020.5",2020.18852459016
"by",11,"N_Hemisphere_2012",2005.11097111277
"by",11,"N_Hemisphere_2013",2005.11097111277
"by",11,"N_Hemisphere_2011",2005.11097111277
"by",11,"N_Hemisphere_2014",2005.11097111277
"by",11,"S_Hemisphere_2012.5",2005.11097111277
"by",11,"S_Hemisphere_2013.5",2005.11097111277
"by",11,"S_Hemisphere_2014.5",2005.11097111277
"by",11,"S_Hemisphere_2011.5",2005.11097111277
"by",11,"S_Hemisphere_2019.5",2016.55500412328
"by",11,"S_Hemisphere_2015.5",2005.11097111277
"by",11,"N_Hemisphere_2015",2005.11097111277
"by",11,"N_Hemisphere_2020",2016.55500412328
"by",11,"S_Hemisphere_2017.5",2015.60980306
"by",11,"N_Hemisphere_2018",2014.15769211865
"by",11,"N_Hemisphere_2019",2016.00882035563
"by",11,"N_Hemisphere_2016",2005.11097111277
"by",11,"S_Hemisphere_2016.5",2005.11097111277
"by",11,"N_Hemisphere_2017",2012.02745190488
"by",11,"S_Hemisphere_2018.5",2016.55500412328
"by",11,"S_Hemisphere_2020.5",2020.18852459016
"by",12,"N_Hemisphere_2012",2005.27195248578
"by",12,"N_Hemisphere_2013",2005.27195248578
"by",12,"N_Hemisphere_2011",2005.27195248578
"by",12,"N_Hemisphere_2014",2005.27195248578
"by",12,"S_Hemisphere_2012.5",2005.27195248578
"by",12,"S_Hemisphere_2013.5",2005.27195248578
"by",12,"S_Hemisphere_2014.5",2005.27195248578
"by",12,"S_Hemisphere_2011.5",2005.27195248578
"by",12,"S_Hemisphere_2019.5",2016.74939586107
"by",12,"S_Hemisphere_2015.5",2005.27195248578
"by",12,"N_Hemisphere_2015",2005.27195248578
"by",12,"N_Hemisphere_2020",2016.74939586107
"by",12,"S_Hemisphere_2017.5",2015.6876930012
"by",12,"N_Hemisphere_2018",2014.1582846308
"by",12,"N_Hemisphere_2019",2016.05069444001
"by",12,"N_Hemisphere_2016",2005.27195248578
"by",12,"S_Hemisphere_2016.5",2005.27195248578
"by",12,"N_Hemisphere_2017",2012.00228035247
"by",12,"S_Hemisphere_2018.5",2016.63612566692
"by",12,"S_Hemisphere_2020.5",2020.18852459016
"by",13,"N_Hemisphere_2012",2005.5679175763
"by",13,"N_Hemisphere_2013",2005.5679175763
"by",13,"N_Hemisphere_2011",2005.5679175763
"by",13,"N_Hemisphere_2014",2005.5679175763
"by",13,"S_Hemisphere_2012.5",2005.5679175763
"by",13,"S_Hemisphere_2013.5",2005.5679175763
"by",13,"S_Hemisphere_2014.5",2005.5679175763
"by",13,"S_Hemisphere_2011.5",2005.5679175763
"by",13,"S_Hemisphere_2019.5",2016.51741964996
"by",13,"S_Hemisphere_2015.5",2005.5679175763
"by",13,"N_Hemisphere_2015",2005.5679175763
"by",13,"N_Hemisphere_2020",2016.51741964996
"by",13,"S_Hemisphere_2017.5",2015.62385686809
"by",13,"N_Hemisphere_2018",2014.06199495763
"by",13,"N_Hemisphere_2019",2015.90587736787
"by",13,"N_Hemisphere_2016",2005.5679175763
"by",13,"S_Hemisphere_2016.5",2005.5679175763
"by",13,"N_Hemisphere_2017",2011.82509294174
"by",13,"S_Hemisphere_2018.5",2016.51741964996
"by",13,"S_Hemisphere_2020.5",2020.18852459016
"by",14,"N_Hemisphere_2012",2005.50360101218
"by",14,"N_Hemisphere_2013",2005.50360101218
"by",14,"N_Hemisphere_2011",2005.50360101218
"by",14,"N_Hemisphere_2014",2005.50360101218
"by",14,"S_Hemisphere_2012.5",2005.50360101218
"by",14,"S_Hemisphere_2013.5",2005.50360101218
"by",14,"S_Hemisphere_2014.5",2005.50360101218
"by",14,"S_Hemisphere_2011.5",2005.50360101218
"by",14,"S_Hemisphere_2019.5",2016.55831714728
"by",14,"S_Hemisphere_2015.5",2005.50360101218
"by",14,"N_Hemisphere_2015",2005.50360101218
"by",14,"N_Hemisphere_2020",2016.55831714728
"by",14,"S_Hemisphere_2017.5",2015.47356980395
"by",14,"N_Hemisphere_2018",2014.13092004614
"by",14,"N_Hemisphere_2019",2015.76692673035
"by",14,"N_Hemisphere_2016",2005.50360101218
"by",14,"S_Hemisphere_2016.5",2005.50360101218
"by",14,"N_Hemisphere_2017",2011.88152218832
"by",14,"S_Hemisphere_2018.5",2016.55831714728
"by",14,"S_Hemisphere_2020.5",2020.18852459016
"by",15,"N_Hemisphere_2012",2005.19770602352
"by",15,"N_Hemisphere_2013",2005.19770602352
"by",15,"N_Hemisphere_2011",2005.19770602352
"by",15,"N_Hemisphere_2014",2005.19770602352
"by",15,"S_Hemisphere_2012.5",2005.19770602352
"by",15,"S_Hemisphere_2013.5",2005.19770602352
"by",15,"S_Hemisphere_2014.5",2005.19770602352
"by",15,"S_Hemisphere_2011.5",2005.19770602352
"by",15,"S_Hemisphere_2019.5",2016.48138219017
"by",15,"S_Hemisphere_2015.5",2005.19770602352
"by",15,"N_Hemisphere_2015",2005.19770602352
"by",15,"N_Hemisphere_2020",2016.48138219017
"by",15,"S_Hemisphere_2017.5",2015.41396133706
"by",15,"N_Hemisphere_2018",2014.10145651988
"by",15,"N_Hemisphere_2019",2015.65844805177
"by",15,"N_Hemisphere_2016",2005.19770602352
"by",15,"S_Hemisphere_2016.5",2005.19770602352
"by",15,"N_Hemisphere_2017",2012.01929934968
"by",15,"S_Hemisphere_2018.5",2016.48138219017
"by",15,"S_Hemisphere_2020.5",2020.18852459016
"by",16,"N_Hemisphere_2012",2006.90089103035
"by",16,"N_Hemisphere_2013",2006.90089103035
"by",16,"N_Hemisphere_2011",2006.90089103035
"by",16,"N_Hemisphere_2014",2006.90089103035
"by",16,"S_Hemisphere_2012.5",2006.90089103035
