,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_z,-0.103,0.443,-0.905,0.529,0.007,0.006,5053.0,3898.0,1.0
b_l,-0.205,0.047,-0.278,-0.126,0.001,0.001,4261.0,6178.0,1.0
"b_z[Africa, 2017-01]",0.342,0.816,-0.921,1.749,0.006,0.01,15939.0,5345.0,1.0
"b_z[Africa, 2017-02]",0.379,0.866,-1.075,1.75,0.007,0.01,17219.0,5630.0,1.0
"b_z[Africa, 2017-03]",0.279,0.897,-1.164,1.771,0.007,0.011,18747.0,5311.0,1.0
"b_z[Africa, 2017-04]",0.181,0.929,-1.318,1.699,0.007,0.012,16561.0,5478.0,1.0
"b_z[Africa, 2017-05]",0.082,0.972,-1.539,1.641,0.007,0.012,16870.0,5730.0,1.0
"b_z[Africa, 2017-06]",0.082,0.956,-1.456,1.65,0.007,0.013,16511.0,4969.0,1.0
"b_z[Africa, 2017-07]",0.003,0.938,-1.561,1.497,0.007,0.013,18981.0,5295.0,1.0
"b_z[Africa, 2017-08]",-0.032,0.96,-1.616,1.533,0.007,0.013,16604.0,5502.0,1.0
"b_z[Africa, 2017-09]",-0.025,0.98,-1.626,1.58,0.008,0.012,16122.0,5973.0,1.0
"b_z[Africa, 2017-10]",-0.004,0.979,-1.633,1.586,0.008,0.013,16460.0,4896.0,1.0
"b_z[Africa, 2017-11]",-0.017,0.991,-1.619,1.638,0.007,0.013,18375.0,5393.0,1.0
"b_z[Africa, 2017-12]",-0.047,0.94,-1.575,1.517,0.007,0.012,17269.0,5486.0,1.0
"b_z[Africa, 2018-01]",-0.079,0.908,-1.562,1.408,0.006,0.011,20046.0,5649.0,1.0
"b_z[Africa, 2018-02]",-0.022,0.863,-1.388,1.445,0.006,0.012,19308.0,5243.0,1.0
"b_z[Africa, 2018-03]",-0.152,0.88,-1.521,1.362,0.006,0.011,19745.0,6137.0,1.0
"b_z[Africa, 2018-04]",-0.108,0.958,-1.699,1.426,0.008,0.012,16117.0,5749.0,1.0
"b_z[Africa, 2018-05]",-0.031,1.017,-1.661,1.638,0.007,0.014,19328.0,5708.0,1.0
"b_z[Africa, 2018-06]",0.191,0.951,-1.336,1.784,0.007,0.012,18438.0,5993.0,1.0
"b_z[Africa, 2018-07]",0.19,0.938,-1.355,1.74,0.007,0.012,17074.0,6069.0,1.0
"b_z[Africa, 2018-08]",0.134,0.977,-1.447,1.76,0.007,0.012,19814.0,5769.0,1.0
"b_z[Africa, 2018-09]",-0.012,0.98,-1.626,1.627,0.007,0.013,19704.0,5799.0,1.0
"b_z[Africa, 2018-10]",-0.062,1.008,-1.705,1.562,0.008,0.014,17988.0,5000.0,1.0
"b_z[Africa, 2018-11]",-0.039,0.989,-1.615,1.624,0.007,0.013,18813.0,5665.0,1.0
"b_z[Africa, 2018-12]",0.001,0.945,-1.53,1.6,0.007,0.013,18720.0,5773.0,1.0
"b_z[Africa, 2019-01]",0.031,0.9,-1.443,1.452,0.007,0.011,18478.0,5898.0,1.0
"b_z[Africa, 2019-02]",0.145,0.917,-1.45,1.58,0.007,0.011,18473.0,6111.0,1.0
"b_z[Africa, 2019-03]",0.065,0.884,-1.387,1.517,0.007,0.012,15617.0,5683.0,1.0
"b_z[Africa, 2019-04]",0.06,0.905,-1.452,1.557,0.007,0.012,18987.0,5827.0,1.0
"b_z[Africa, 2019-05]",0.013,0.909,-1.5,1.461,0.007,0.012,16441.0,5604.0,1.0
