var,epoch,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
air-traffic,pos,Africa,0.6744027417556231,0.1285572555755254,0.46658747067414774,0.8854792180884611,0.42673246907305046,0.924326433076228
air-traffic,pan2,Africa,0.5428818013681579,0.07613700235575233,0.4242569720656014,0.6728398506707791,0.3957636379054681,0.6887465371147239
air-traffic,pan1,Africa,0.8322493471908335,0.08463679789023257,0.6864060833119175,0.9633736878301956,0.6656052993708835,0.9983455870992425
air-traffic,pre,Africa,0.40216564337533806,0.06405086719351327,0.3000446472923687,0.5099228789161062,0.27732166405076003,0.5240364814134522
air-traffic,pos,Japan-Korea,0.6311189126229565,0.12971349750546982,0.41447622067166295,0.8436405788545243,0.3719325297578166,0.8789235866713602
air-traffic,pan2,Japan-Korea,0.26195339098163845,0.07389581200919972,0.14214469988041784,0.384238036036092,0.1145934608385938,0.40410136703542526
air-traffic,pan1,Japan-Korea,0.2827989687500247,0.08315945708409571,0.1496238504690875,0.4223210731112253,0.11623585007881117,0.4419185971427076
air-traffic,pre,Japan-Korea,0.44273616727404064,0.05924372642445006,0.3502365758663304,0.5430196774539935,0.3219418531712914,0.5538253490586557
air-traffic,pos,North America,0.6613211547977592,0.12602583005743348,0.4664247552543332,0.8766267905147798,0.41353376541578396,0.9020729482497641
air-traffic,pan2,North America,0.4366101747702534,0.0767296572410975,0.3106040806188673,0.5594157253663843,0.283419157725213,0.5841306347466828
air-traffic,pan1,North America,0.34169500777199074,0.07702647692817878,0.2188129035654144,0.47235820393094513,0.19512372585710533,0.49587621555557787
air-traffic,pre,North America,0.3453376594870523,0.06388090027614957,0.2426341513779498,0.45180113046460807,0.21935192950126228,0.4658548884815637
air-traffic,pos,North China,0.49083997877474234,0.12569404512139498,0.292508225652047,0.7085888017982652,0.24622475204092736,0.7374053091392445
air-traffic,pan2,North China,0.464298680928692,0.06986268114130745,0.3516436605343429,0.578497792407922,0.3296156886278675,0.6034402918715748
air-traffic,pan1,North China,0.3037019496701751,0.10443830449825761,0.14045789298021058,0.47995647176559303,0.09085794835565453,0.5008594801224688
air-traffic,pre,North China,0.44510835241847246,0.062384710739289084,0.34075694284563934,0.544488217528939,0.3234175317743507,0.5677310870490464
air-traffic,pos,Oceania,0.6760694713575629,0.1338436720412042,0.45373046439745957,0.8925668331246591,0.4178299306015775,0.9365187263123511
air-traffic,pan2,Oceania,0.3732382329769383,0.07111497843914871,0.25670839560174225,0.4903415147952531,0.23387740159760462,0.5103772818961364
air-traffic,pan1,Oceania,0.5131640525077511,0.07730896969848249,0.3862350649169512,0.6407838116751581,0.3640540635933445,0.6631342928582623
air-traffic,pre,Oceania,0.4249717429744834,0.05438677644123724,0.3374696380397,0.5153535620418013,0.31305743190816343,0.5285163601635406
air-traffic,pos,Western Asia,0.478491623781114,0.12116976065458451,0.2848111061750689,0.6817653988215369,0.24696630597348657,0.7220339603123889
air-traffic,pan2,Western Asia,0.3882393010967257,0.07455548878650775,0.2647467287487912,0.5122185396008954,0.24797271665384027,0.540742294563935
air-traffic,pan1,Western Asia,0.35737605565207686,0.06851541543510029,0.24936997435580047,0.47233802376852313,0.2200217249169576,0.4881609516129704
air-traffic,pre,Western Asia,0.4746081655227215,0.06613673377782121,0.36523371789662645,0.5842179496529412,0.35040833910945846,0.6115977062561206
air-traffic,pos,South America,0.6071049173248176,0.12337168700145114,0.3877723355221582,0.7955188467441411,0.36939925022070486,0.8506386146260474
