var,epoch,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
antigenic-drift,pos,Africa,-0.3100625511130027,0.14935039902284686,-0.5743153858597569,-0.08085197511702731,-0.6040175066392877,-0.014744661967414974
antigenic-drift,pan2,Africa,-0.009952848952023984,0.10900463735539011,-0.18803377154161616,0.1677177717270663,-0.21747708399788318,0.20250992724154124
antigenic-drift,pan1,Africa,0.5761625593974747,0.15873546987859982,0.31983604041447894,0.8404526192379094,0.2848680862820347,0.90197362476104
antigenic-drift,pre,Africa,-0.09894078314922544,0.09591480708456306,-0.2614368883214701,0.053626125998901736,-0.2844848054997185,0.09317605341874535
antigenic-drift,pos,Japan-Korea,-0.3943151045957652,0.15834009029251506,-0.6593132607173948,-0.1426133599584546,-0.7095287399087971,-0.09058968898224921
antigenic-drift,pan2,Japan-Korea,-0.23236138683474178,0.12292785898345174,-0.43705974979444046,-0.03450677940850823,-0.4781960085046994,0.004157706792487626
antigenic-drift,pan1,Japan-Korea,-0.27700166889265265,0.16828874092079799,-0.5449587986764829,0.009485394190224159,-0.6152454538288793,0.05194039790837013
antigenic-drift,pre,Japan-Korea,-0.23315478617902152,0.09481305653373322,-0.3898927557069195,-0.07865820501431041,-0.41168772010440235,-0.04050102597212472
antigenic-drift,pos,North America,-0.021777041115436907,0.16144486482809117,-0.2830006095987464,0.24447482593737202,-0.3414158516529946,0.2926706936902639
antigenic-drift,pan2,North America,-0.2584478799157513,0.1141902267928195,-0.44768955179340303,-0.07351108572650633,-0.4785558936115733,-0.03423350329927974
antigenic-drift,pan1,North America,-0.6731396720912398,0.15978869544942856,-0.9389620792802339,-0.4199985706766876,-0.9711567413221996,-0.34581606217306193
antigenic-drift,pre,North America,-0.16489669335963494,0.09880657740780499,-0.3270526805292134,-0.0035556164985299163,-0.35404339568994936,0.03126773739487911
antigenic-drift,pos,North China,-0.12510170201132742,0.1766186868311188,-0.41393121785589104,0.15905232869400499,-0.4857455230059542,0.20483685044314467
antigenic-drift,pan2,North China,-0.22826599775186485,0.10608847190135,-0.41836424707133263,-0.06869704068028736,-0.43520864174891344,-0.018975785297640026
antigenic-drift,pan1,North China,-0.3206433414783578,0.17533918020184383,-0.6080381411253524,-0.03221150031625528,-0.6899859651729364,0.0029145687004401935
antigenic-drift,pre,North China,-0.17484565155440146,0.10293972944067906,-0.3510782136046556,-0.013453510816713438,-0.389191494429447,0.016281722781477374
antigenic-drift,pos,Oceania,-0.1105054611870422,0.1522734261046498,-0.36082996116027455,0.14096360797666369,-0.4115361029761864,0.18137804351465583
antigenic-drift,pan2,Oceania,-0.2825705334270498,0.11430795326735935,-0.46634462304023505,-0.09126208134520486,-0.5010693399116155,-0.054639930846022006
antigenic-drift,pan1,Oceania,-0.4516287400063772,0.1389747352420969,-0.6867209201342511,-0.22803321921536054,-0.7289370726147243,-0.1837082496314891
antigenic-drift,pre,Oceania,-0.1835797684788385,0.09531413827702964,-0.34064409376210353,-0.028675275217964542,-0.36064340822853475,0.009752263287817415
antigenic-drift,pos,Western Asia,-0.309516505928714,0.17685374790534553,-0.5919142929755854,-0.009143756683023908,-0.6625365029418471,0.03091111751756334
antigenic-drift,pan2,Western Asia,-0.23649497434373062,0.12219040007790945,-0.4485188786232392,-0.046362019428969864,-0.4712891767048463,0.0003148749170982379
antigenic-drift,pan1,Western Asia,-0.3041151874140625,0.15960832784663423,-0.5536009472496808,-0.036291512764798396,-0.632449280884886,-0.0027414137313234374
antigenic-drift,pre,Western Asia,-0.1767685863516461,0.09143987128505897,-0.32350509988883963,-0.021992919619235742,-0.3602607343326527,0.001555647585127249
antigenic-drift,pos,South America,-0.1557701814200981,0.16291782097823432,-0.42262790256967064,0.11098996712391099,-0.46847526618077984,0.1691495897145795
antigenic-drift,pan2,South America,-0.3681642642503838,0.11397509308478201,-0.5477363039346093,-0.17418046734805956,-0.5987355748652494,-0.15048641683591146
antigenic-drift,pan1,South America,-0.7817128286010093,0.10412513533902802,-0.9510101875131279,-0.6114073874417222,-0.9762690970765641,-0.570491704854497
antigenic-drift,pre,South America,-0.21361387523741415,0.09418279641659917,-0.36038412544662596,-0.05307703874304487,-0.39797655264429016,-0.032342355217778174
antigenic-drift,pos,South China,-0.20634887538615454,0.1403063389250512,-0.4306456625620948,0.027367750020974926,-0.490078570706101,0.054979028471002556
antigenic-drift,pan2,South China,-0.179962588548089,0.07598335656498462,-0.3066610879370063,-0.058630476549125586,-0.3215205202423259,-0.027610202923121843
antigenic-drift,pan1,South China,0.40003887190745774,0.16225260843914374,0.14891185015892852,0.6776551147734439,0.08528767836699797,0.7135124268305822
antigenic-drift,pre,South China,-0.16907467079334967,0.09864490781957938,-0.333745680881893,-0.012217273205798514,-0.3635387784635508,0.0195340690658658
antigenic-drift,pos,South-eastern Asia,-0.38410056642979906,0.14459332138237918,-0.6270123901116322,-0.15626111772944068,-0.6693244027410028,-0.10895203458517097
antigenic-drift,pan2,South-eastern Asia,-0.22544101821282564,0.11514807246056964,-0.4231195028624663,-0.04502006603306528,-0.466961128178392,-0.012901541948313831
antigenic-drift,pan1,South-eastern Asia,-0.22238390580206718,0.1695051668067708,-0.49342602589286083,0.05692753394037875,-0.5680576864822676,0.09786208929368391
antigenic-drift,pre,South-eastern Asia,-0.253709252342222,0.09648943387326499,-0.4098140742496135,-0.09673971755705314,-0.44418986651558057,-0.06369387437504094
antigenic-drift,pos,Southern Asia,-0.3285779510713838,0.15449696746925493,-0.57878624217365,-0.07130047346319002,-0.6327013528450333,-0.02579226688571007
antigenic-drift,pan2,Southern Asia,-0.46276023993833665,0.12241229529002284,-0.6602384519592236,-0.25948538450650765,-0.695333756645866,-0.21852505516603452
antigenic-drift,pan1,Southern Asia,0.029894558771580086,0.1477164265727195,-0.2199681083508244,0.2635880962489451,-0.24400722327640267,0.3287875834644808
antigenic-drift,pre,Southern Asia,-0.17964612296111734,0.09285383584930683,-0.34337316119669603,-0.03431322746810995,-0.35656020339767647,0.008000922051291411
antigenic-drift,pos,Russia,0.058337821038871224,0.1674823628884747,-0.2093850251235675,0.3360566550471341,-0.2681309510201385,0.38417427618177247
antigenic-drift,pan2,Russia,-0.13413863433939366,0.11274526005395825,-0.3174457201383784,0.05175481259464198,-0.34974309743001186,0.0876779135305208
antigenic-drift,pan1,Russia,-0.6711097497902728,0.14923663804396886,-0.9091359131046667,-0.4190199741874225,-0.9547350305232806,-0.3710545749993222
antigenic-drift,pre,Russia,-0.0757162842607045,0.09476286293788974,-0.23136053889576552,0.07490584292040707,-0.2664572914055156,0.10289363379884617
antigenic-drift,pos,Europe,-0.04608031726686055,0.16755409397301158,-0.3293560769580843,0.22231462213673747,-0.3771147193474748,0.27822784099987996
antigenic-drift,pan2,Europe,-0.26826448580982654,0.11322976506141674,-0.458576662002313,-0.08927288570596602,-0.4879862624961567,-0.04327235461132925
antigenic-drift,pan1,Europe,-0.739324350495228,0.13777497400391225,-0.9750326004234685,-0.5219980517677913,-1.010742839922913,-0.4810265264399072
antigenic-drift,pre,Europe,-0.08562482987731859,0.09440040549944857,-0.24356493476880267,0.06581265036998615,-0.27073450890415374,0.10024266906114243
