"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_498876","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_299845","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_304564","A/H1N1pdm09","Crick Worldwide Influenza Centre","University of Ghana"
"EPI_ISL_292628","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_276864","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_294091","A/H1N1pdm09","Crick Worldwide Influenza Centre","University of Ghana"
"MG745934.1","A/H1N1pdm09","Charles Nicolle Hospital, National Influenza Centre-Tunis, Virology Unit, Microbiology Laboratory",NA
"EPI_ISL_276866","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_309951","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_309524","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_298517","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Lab"
"EPI_ISL_298522","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Lab"
"EPI_ISL_287164","A/H1N1pdm09","Crick Worldwide Influenza Centre","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_282173","A/H1N1pdm09","Crick Worldwide Influenza Centre","University of Ghana"
"EPI_ISL_16612362","A/H1N1pdm09","Ministry of Health and Wellness, Mauritius","National Influenza Centre, Department of Molecular Biology and Virology"
"EPI_ISL_311910","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_302443","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_314250","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_287175","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_283215","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_283225","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_305265","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_260260","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital"
"EPI_ISL_302434","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_299847","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_281579","A/H1N1pdm09","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_300853","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_275663","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute for Communicable Disease"
"EPI_ISL_281580","A/H1N1pdm09","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_300916","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_330374","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_320866","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_351839","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Reference Laboratory"
"EPI_ISL_355272","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_322867","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_18786687","A/H1N1pdm09","Kenya Medical Research Institute - KEMRI","Kenya Medical Research Institute - KEMRI"
"EPI_ISL_314266","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_319837","A/H1N1pdm09","Centers for Disease Control and Prevention","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_330373","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_330361","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Reference Laboratory"
"EPI_ISL_355310","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_18931161","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_355308","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_330372","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_347360","A/H1N1pdm09","Crick Worldwide Influenza Centre","University of Ghana"
"EPI_ISL_330854","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute for Communicable Disease"
"EPI_ISL_330366","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_353346","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Reference Laboratory"
"EPI_ISL_18786766","A/H1N1pdm09","Kenya Medical Research Institute - KEMRI","Kenya Medical Research Institute - KEMRI"
"EPI_ISL_330389","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_320602","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_303884","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur d'Algerie"
"EPI_ISL_422481","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_351843","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Reference Laboratory"
"EPI_ISL_421441","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_323061","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_330371","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_330368","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_323060","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_18931215","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
