"seqName","region_final","clade"
"EPI_ISL_106893|Yamagata|HA|Africa|2011-10-13","Africa","Y1"
"EPI_ISL_106888|Yamagata|HA|Africa|2011-09-27","Africa","Y1"
"EPI_ISL_246771|Yamagata|HA|Africa|2011-09-27","Africa","Y1"
"EPI_ISL_103126|Yamagata|HA|Africa|2011-10-17","Africa","Y1"
"EPI_ISL_103117|Yamagata|HA|Africa|2011-09-23","Africa","Y1"
"EPI_ISL_103118|Yamagata|HA|Africa|2011-09-27","Africa","Y1"
"EPI_ISL_103133|Yamagata|HA|Africa|2011-09-20","Africa","Y1"
"EPI_ISL_103130|Yamagata|HA|Africa|2011-10-25","Africa","Y1"
"EPI_ISL_106902|Yamagata|HA|Africa|2011-09-06","Africa","Y1"
"EPI_ISL_106889|Yamagata|HA|Africa|2011-10-20","Africa","Y1"
"EPI_ISL_129665|Yamagata|HA|Africa|2011-12-22","Africa","Y1"
"EPI_ISL_103131|Yamagata|HA|Africa|2011-11-24","Africa","Y1"
"EPI_ISL_246793|Yamagata|HA|Africa|2011-08-26","Africa","Y1"
"EPI_ISL_246787|Yamagata|HA|Africa|2011-10-30","Africa","Y1"
"EPI_ISL_106887|Yamagata|HA|Africa|2011-09-16","Africa","Y1"
"EPI_ISL_138506|Yamagata|HA|Africa|2012-11-06","Africa","Y3"
"EPI_ISL_134616|Yamagata|HA|Africa|2012-08-02","Africa","Y1"
"EPI_ISL_138500|Yamagata|HA|Africa|2012-12-05","Africa","Y2"
"EPI_ISL_132263|Yamagata|HA|Africa|2012-06-22","Africa","Y3"
"EPI_ISL_246839|Yamagata|HA|Africa|2012-06-19","Africa","Y1"
"EPI_ISL_246837|Yamagata|HA|Africa|2012-06-19","Africa","Y1"
"EPI_ISL_135843|Yamagata|HA|Africa|2012-12-12","Africa","Y1"
"EPI_ISL_165497|Yamagata|HA|Africa|2012-11-20","Africa","Y2"
"EPI_ISL_165496|Yamagata|HA|Africa|2012-10-26","Africa","Y2"
"EPI_ISL_134617|Yamagata|HA|Africa|2012-10-19","Africa","Y1"
"EPI_ISL_138489|Yamagata|HA|Africa|2012-10-23","Africa","Y3"
"EPI_ISL_140378|Yamagata|HA|Africa|2012-11-14","Africa","Y3"
"EPI_ISL_137198|Yamagata|HA|Africa|2012-11-23","Africa","Y3"
"EPI_ISL_138503|Yamagata|HA|Africa|2012-12-20","Africa","Y1"
"EPI_ISL_132261|Yamagata|HA|Africa|2012-06-07","Africa","Y2"
"EPI_ISL_159714|Yamagata|HA|Africa|2013-08-15","Africa","Y2"
"EPI_ISL_145960|Yamagata|HA|Africa|2013-03-04","Africa","Y2"
"EPI_ISL_145617|Yamagata|HA|Africa|2013-05-20","Africa","Y2"
"EPI_ISL_159705|Yamagata|HA|Africa|2013-12-04","Africa","Y2"
"EPI_ISL_148703|Yamagata|HA|Africa|2013-06-12","Africa","Y2"
"EPI_ISL_141514|Yamagata|HA|Africa|2013-02-19","Africa","Y3"
"EPI_ISL_151479|Yamagata|HA|Africa|2013-06-06","Africa","Y2"
"EPI_ISL_144246|Yamagata|HA|Africa|2013-05-02","Africa","Y2"
"EPI_ISL_158863|Yamagata|HA|Africa|2013-07-11","Africa","Y2"
"EPI_ISL_149448|Yamagata|HA|Africa|2013-03-20","Africa","Y1"
"EPI_ISL_145576|Yamagata|HA|Africa|2013-04-03","Africa","Y3"
"EPI_ISL_158867|Yamagata|HA|Africa|2013-12-16","Africa","Y2"
"EPI_ISL_145618|Yamagata|HA|Africa|2013-06-03","Africa","Y2"
"EPI_ISL_148702|Yamagata|HA|Africa|2013-05-27","Africa","Y2"
"EPI_ISL_17996237|Yamagata|HA|Africa|2013-04-01","Africa","Y2"
"EPI_ISL_175137|Yamagata|HA|Africa|2014-06-03","Africa","Y3"
"EPI_ISL_170581|Yamagata|HA|Africa|2014-10-21","Africa","Y3"
"EPI_ISL_171974|Yamagata|HA|Africa|2014-11-15","Africa","Y3"
"EPI_ISL_175103|Yamagata|HA|Africa|2014-09-10","Africa","Y3"
"EPI_ISL_166759|Yamagata|HA|Africa|2014-02-19","Africa","Y2"
"EPI_ISL_213328|Yamagata|HA|Africa|2014-06-17","Africa","Y3"
"EPI_ISL_175151|Yamagata|HA|Africa|2014-09-22","Africa","Y3"
"EPI_ISL_215716|Yamagata|HA|Africa|2014-12-17","Africa","Y3"
"EPI_ISL_175138|Yamagata|HA|Africa|2014-07-23","Africa","Y2"
"EPI_ISL_175133|Yamagata|HA|Africa|2014-08-25","Africa","Y3"
"EPI_ISL_168823|Yamagata|HA|Africa|2014-06-14","Africa","Y3"
"EPI_ISL_175134|Yamagata|HA|Africa|2014-08-28","Africa","Y2"
"EPI_ISL_171961|Yamagata|HA|Africa|2014-10-22","Africa","Y3"
"EPI_ISL_165494|Yamagata|HA|Africa|2014-01-10","Africa","Y3"
"EPI_ISL_172213|Yamagata|HA|Africa|2014-10-23","Africa","Y3"
"EPI_ISL_191893|Yamagata|HA|Africa|2015-01-21","Africa","Y3"
"EPI_ISL_192093|Yamagata|HA|Africa|2015-02-24","Africa","Y3"
"EPI_ISL_191888|Yamagata|HA|Africa|2015-01-10","Africa","Y3"
"EPI_ISL_218630|Yamagata|HA|Africa|2015-07-28","Africa","Y3"
"EPI_ISL_206964|Yamagata|HA|Africa|2015-05-18","Africa","Y3"
"EPI_ISL_211597|Yamagata|HA|Africa|2015-12-19","Africa","Y2"
"EPI_ISL_206936|Yamagata|HA|Africa|2015-01-22","Africa","Y3"
"EPI_ISL_206923|Yamagata|HA|Africa|2015-02-21","Africa","Y2"
"EPI_ISL_218623|Yamagata|HA|Africa|2015-11-17","Africa","Y3"
"EPI_ISL_232206|Yamagata|HA|Africa|2015-09-17","Africa","Y3"
"MG674739.1|BY|HA|Africa|2015-09-03","Africa","Y3"
"EPI_ISL_203283|Yamagata|HA|Africa|2015-09-28","Africa","Y3"
"EPI_ISL_192090|Yamagata|HA|Africa|2015-03-09","Africa","Y3"
"EPI_ISL_205310|Yamagata|HA|Africa|2015-10-13","Africa","Y3"
"EPI_ISL_217504|Yamagata|HA|Africa|2015-09-07","Africa","Y3"
"EPI_ISL_312411|Yamagata|HA|Africa|2016-02-25","Africa","Y3"
"EPI_ISL_312418|Yamagata|HA|Africa|2016-01-06","Africa","Y3"
"MG674752.1|BY|HA|Africa|2016-07-20","Africa","Y3"
"EPI_ISL_235510|Yamagata|HA|Africa|2016-04-13","Africa","Y3"
"EPI_ISL_336290|Yamagata|HA|Africa|2016-01-28","Africa","Y3"
"EPI_ISL_235485|Yamagata|HA|Africa|2016-06-23","Africa","Y3"
"EPI_ISL_235480|Yamagata|HA|Africa|2016-05-30","Africa","Y3"
"EPI_ISL_248678|Yamagata|HA|Africa|2016-11-10","Africa","Y3"
"EPI_ISL_261237|Yamagata|HA|Africa|2016-11-09","Africa","Y3"
"EPI_ISL_248673|Yamagata|HA|Africa|2016-11-10","Africa","Y3"
"EPI_ISL_336302|Yamagata|HA|Africa|2016-03-24","Africa","Y2"
"EPI_ISL_255226|Yamagata|HA|Africa|2016-12-23","Africa","Y3"
"EPI_ISL_312406|Yamagata|HA|Africa|2016-01-18","Africa","Y3"
"EPI_ISL_235488|Yamagata|HA|Africa|2016-06-21","Africa","Y3"
"EPI_ISL_224393|Yamagata|HA|Africa|2016-03-01","Africa","Y3"
"MG812169.1|BY|HA|Africa|2017-10-12","Africa","Y3"
"EPI_ISL_17996235|Yamagata|HA|Africa|2017-12-13","Africa","Y3"
"EPI_ISL_277089|Yamagata|HA|Africa|2017-07-21","Africa","Y3"
"EPI_ISL_319687|Yamagata|HA|Africa|2017-12-18","Africa","Y3"
"EPI_ISL_308614|Yamagata|HA|Africa|2017-12-22","Africa","Y3"
"EPI_ISL_277090|Yamagata|HA|Africa|2017-07-31","Africa","Y3"
"EPI_ISL_261300|Yamagata|HA|Africa|2017-02-07","Africa","Y3"
"MH316178.1|BY|HA|Africa|2017-12-20","Africa","Y3"
"MH316173.1|BY|HA|Africa|2017-12-18","Africa","Y3"
"EPI_ISL_296382|Yamagata|HA|Africa|2017-11-13","Africa","Y3"
"MG812178.1|BY|HA|Africa|2017-11-22","Africa","Y3"
"MG812180.1|BY|HA|Africa|2017-11-17","Africa","Y3"
"EPI_ISL_276604|Yamagata|HA|Africa|2017-07-27","Africa","Y3"
"EPI_ISL_288620|Yamagata|HA|Africa|2017-10-30","Africa","Y3"
"EPI_ISL_299072|Yamagata|HA|Africa|2017-12-27","Africa","Y3"
"EPI_ISL_311604|Yamagata|HA|Africa|2018-02-19","Africa","Y3"
"EPI_ISL_314077|Yamagata|HA|Africa|2018-02-26","Africa","Y3"
"EPI_ISL_341128|Yamagata|HA|Africa|2018-06-05","Africa","Y3"
"OL354740.1|BY|HA|Africa|2018-12-03","Africa","Y3"
"EPI_ISL_329947|Yamagata|HA|Africa|2018-01-31","Africa","Y3"
"EPI_ISL_320914|Yamagata|HA|Africa|2018-05-03","Africa","Y3"
"EPI_ISL_330325|Yamagata|HA|Africa|2018-05-08","Africa","Y3"
"EPI_ISL_321071|Yamagata|HA|Africa|2018-06-29","Africa","Y3"
"EPI_ISL_331030|Yamagata|HA|Africa|2018-08-23","Africa","Y3"
"EPI_ISL_308608|Yamagata|HA|Africa|2018-01-08","Africa","Y3"
"EPI_ISL_330316|Yamagata|HA|Africa|2018-02-15","Africa","Y3"
"OL354795.1|BY|HA|Africa|2018-04-04","Africa","Y3"
"EPI_ISL_322830|Yamagata|HA|Africa|2018-02-26","Africa","Y3"
"EPI_ISL_338128|Yamagata|HA|Africa|2018-11-07","Africa","Y3"
"EPI_ISL_355254|Yamagata|HA|Africa|2018-11-05","Africa","Y3"
"EPI_ISL_387012|Yamagata|HA|Africa|2019-01-15","Africa","Y3"
"OL354717.1|BY|HA|Africa|2019-01-13","Africa","Y3"
"EPI_ISL_418495|Yamagata|HA|Africa|2019-12-08","Africa","Y3"
"EPI_ISL_364232|Yamagata|HA|Africa|2019-03-07","Africa","Y3"
"EPI_ISL_363142|Yamagata|HA|Africa|2019-01-03","Africa","Y3"
"EPI_ISL_17996140|Yamagata|HA|Africa|2019-10-17","Africa","Y3"
"EPI_ISL_17996231|Yamagata|HA|Africa|2019-06-16","Africa","Y3"
"EPI_ISL_409846|Yamagata|HA|Africa|2019-12-12","Africa","Y3"
"OL354811.1|BY|HA|Africa|2019-03-31","Africa","Y3"
"EPI_ISL_389972|Yamagata|HA|Africa|2019-06-03","Africa","Y3"
"EPI_ISL_393870|Yamagata|HA|Africa|2019-01-31","Africa","Y3"
"EPI_ISL_387009|Yamagata|HA|Africa|2019-01-30","Africa","Y3"
"EPI_ISL_409847|Yamagata|HA|Africa|2019-12-12","Africa","Y3"
"OL354804.1|BY|HA|Africa|2018-12-31","Africa","Y3"
"EPI_ISL_393869|Yamagata|HA|Africa|2019-01-08","Africa","Y3"
"EPI_ISL_121623|Yamagata|HA|Europe|2011-03-16","Europe","Y1"
"JX444070.1|BY|HA|Europe|2011-01-15","Europe","Y1"
"EPI_ISL_121622|Yamagata|HA|Europe|2011-03-15","Europe","Y1"
"JX444071.1|BY|HA|Europe|2011-01-15","Europe","Y1"
"EPI_ISL_246559|Yamagata|HA|Europe|2011-01-24","Europe","Y1"
"EPI_ISL_99785|Yamagata|HA|Europe|2011-11-15","Europe","Y1"
"EPI_ISL_99637|Yamagata|HA|Europe|2011-11-16","Europe","Y1"
"EPI_ISL_106885|Yamagata|HA|Europe|2011-12-27","Europe","Y1"
"EPI_ISL_121625|Yamagata|HA|Europe|2011-03-21","Europe","Y1"
"EPI_ISL_103134|Yamagata|HA|Europe|2011-11-12","Europe","Y1"
"EPI_ISL_90664|Yamagata|HA|Europe|2011-03-15","Europe","Y2"
"EPI_ISL_246617|Yamagata|HA|Europe|2011-01-05","Europe","Y1"
"EPI_ISL_103116|Yamagata|HA|Europe|2011-12-01","Europe","Y1"
"EPI_ISL_88866|Yamagata|HA|Europe|2011-02-01","Europe","Y2"
"EPI_ISL_100467|Yamagata|HA|Europe|2011-11-23","Europe","Y1"
"EPI_ISL_367866|Yamagata|HA|Europe|2012-03-06","Europe","Y1"
"EPI_ISL_121657|Yamagata|HA|Europe|2012-03-01","Europe","Y1"
"EPI_ISL_137876|Yamagata|HA|Europe|2012-12-19","Europe","Y3"
"EPI_ISL_367865|Yamagata|HA|Europe|2012-03-05","Europe","Y1"
"EPI_ISL_134066|Yamagata|HA|Europe|2012-12-26","Europe","Y1"
"EPI_ISL_132891|Yamagata|HA|Europe|2012-11-11","Europe","Y3"
"EPI_ISL_246861|Yamagata|HA|Europe|2012-04-28","Europe","Y2"
"EPI_ISL_134970|Yamagata|HA|Europe|2012-12-17","Europe","Y2"
"EPI_ISL_134142|Yamagata|HA|Europe|2012-12-17","Europe","Y2"
"EPI_ISL_122270|Yamagata|HA|Europe|2012-03-19","Europe","Y1"
"EPI_ISL_134606|Yamagata|HA|Europe|2012-11-19","Europe","Y2"
"EPI_ISL_118413|Yamagata|HA|Europe|2012-02-24","Europe","Y2"
"EPI_ISL_246799|Yamagata|HA|Europe|2012-01-24","Europe","Y1"
"EPI_ISL_117423|Yamagata|HA|Europe|2012-03-05","Europe","Y1"
"EPI_ISL_121663|Yamagata|HA|Europe|2012-03-05","Europe","Y1"
"EPI_ISL_138991|Yamagata|HA|Europe|2013-02-22","Europe","Y1"
"EPI_ISL_139260|Yamagata|HA|Europe|2013-02-04","Europe","Y1"
"EPI_ISL_138989|Yamagata|HA|Europe|2013-02-15","Europe","Y2"
"EPI_ISL_144006|Yamagata|HA|Europe|2013-03-01","Europe","Y2"
"KU528972.1|BY|HA|Europe|2013-02-18","Europe","Y2"
"KU528998.1|BY|HA|Europe|2013-02-25","Europe","Y2"
"EPI_ISL_154577|Yamagata|HA|Europe|2013-12-16","Europe","Y3"
"EPI_ISL_133776|Yamagata|HA|Europe|2013-01-10","Europe","Y2"
"EPI_ISL_150205|Yamagata|HA|Europe|2013-01-02","Europe","Y1"
"EPI_ISL_144852|Yamagata|HA|Europe|2013-04-10","Europe","Y2"
"EPI_ISL_144849|Yamagata|HA|Europe|2013-03-08","Europe","Y2"
"EPI_ISL_143609|Yamagata|HA|Europe|2013-04-08","Europe","Y2"
"KU528981.1|BY|HA|Europe|2013-02-20","Europe","Y2"
"EPI_ISL_144835|Yamagata|HA|Europe|2013-03-06","Europe","Y2"
"EPI_ISL_150610|Yamagata|HA|Europe|2013-04-07","Europe","Y2"
"EPI_ISL_169369|Yamagata|HA|Europe|2014-11-17","Europe","Y3"
"EPI_ISL_158861|Yamagata|HA|Europe|2014-02-06","Europe","Y2"
"EPI_ISL_170750|Yamagata|HA|Europe|2014-12-16","Europe","Y3"
"EPI_ISL_169367|Yamagata|HA|Europe|2014-11-12","Europe","Y3"
"EPI_ISL_169892|Yamagata|HA|Europe|2014-12-05","Europe","Y3"
"EPI_ISL_170604|Yamagata|HA|Europe|2014-12-17","Europe","Y3"
"EPI_ISL_192979|Yamagata|HA|Europe|2014-12-22","Europe","Y3"
"EPI_ISL_175141|Yamagata|HA|Europe|2014-12-15","Europe","Y3"
"EPI_ISL_166116|Yamagata|HA|Europe|2014-05-16","Europe","Y3"
"EPI_ISL_166110|Yamagata|HA|Europe|2014-02-12","Europe","Y3"
"EPI_ISL_169368|Yamagata|HA|Europe|2014-11-17","Europe","Y3"
"EPI_ISL_175140|Yamagata|HA|Europe|2014-12-07","Europe","Y3"
"EPI_ISL_171965|Yamagata|HA|Europe|2014-12-19","Europe","Y3"
"EPI_ISL_155002|Yamagata|HA|Europe|2014-01-03","Europe","Y3"
"EPI_ISL_159597|Yamagata|HA|Europe|2014-03-17","Europe","Y2"
"EPI_ISL_192078|Yamagata|HA|Europe|2015-04-01","Europe","Y3"
"EPI_ISL_291867|Yamagata|HA|Europe|2015-02-07","Europe","Y3"
"EPI_ISL_238184|Yamagata|HA|Europe|2015-04-16","Europe","Y3"
"KU529057.1|BY|HA|Europe|2015-04-01","Europe","Y3"
"EPI_ISL_291890|Yamagata|HA|Europe|2015-02-25","Europe","Y3"
"EPI_ISL_173016|Yamagata|HA|Europe|2015-01-23","Europe","Y3"
"EPI_ISL_191899|Yamagata|HA|Europe|2015-02-11","Europe","Y3"
"EPI_ISL_172721|Yamagata|HA|Europe|2015-01-06","Europe","Y3"
"EPI_ISL_179180|Yamagata|HA|Europe|2015-02-13","Europe","Y3"
"EPI_ISL_190985|Yamagata|HA|Europe|2015-03-10","Europe","Y3"
"EPI_ISL_368038|Yamagata|HA|Europe|2015-02-20","Europe","Y2"
